match_id,half,time,scorer,assister,is_og,is_goal_highlight,is_assist_highlight
2026-02-12#1,2H,37:50,Amin,,,,
2026-02-12#1,2H,39:40,Lachlan,Austin,,,
2026-02-12#1,2H,41:20,Lachlan,Xavier,,,
2026-02-12#1,2H,43:50,Lachlan,Austin,,,
2026-02-12#1,2H,44:30,Richard,Gio,,,
2026-02-12#1,2H,46:30,Bailey,Dexter,,,
2026-02-12#1,2H,46:50,Austin,,,,
2026-02-12#1,2H,48:15,Lachlan,Gio,,,
2026-02-12#1,2H,49:05,Xavier,Lachlan,,,
2026-02-12#1,2H,50:28,Bailey,,,,
2026-02-19#1,1H,00:34,Gio,James2,,,
2026-02-19#1,1H,01:00,Lachlan,Amin,,,
2026-02-19#1,1H,03:40,Amin,Lachlan,,,
2026-02-19#1,1H,04:25,Bailey,,,,
2026-02-19#1,1H,09:53,Austin,Bailey,,,
2026-02-19#1,1H,10:38,Bailey,Lachlan,,,
2026-02-19#1,1H,12:15,Amin,Alberto,,,
2026-02-19#1,1H,12:40,Gio,,,,
2026-02-19#1,1H,14:10,James,,,,
2026-02-19#1,1H,14:50,James,Gio,,,
2026-02-19#1,1H,17:45,Bailey,Austin,,,
2026-02-19#1,1H,20:00,Gio,,,,
2026-02-19#1,1H,23:55,Jake,,,,
2026-02-19#1,2H,25:10,Richard,Gio,,,
2026-02-19#1,2H,26:20,Alberto,,,,
2026-02-19#1,2H,27:15,Lachlan,,,,
2026-02-19#1,2H,28:43,James,Jake,,,
2026-02-19#1,2H,29:37,James,,,,
2026-02-19#1,2H,31:10,Amin,Bailey,,,
2026-02-19#1,2H,34:00,James2,,,,
2026-02-19#1,2H,34:32,Jake,James2,,,
2026-02-19#1,2H,36:50,Bailey,,,,
2026-02-19#1,2H,41:40,Gio,,,,
2026-02-19#1,2H,43:10,Gio,,,,
2026-02-19#1,2H,51:05,Austin,,,,
2026-02-26#1,1H,00:15,Alberto,,,,
2026-02-26#1,1H,04:36,James,,,,
2026-02-26#1,1H,05:30,Jake,,,,
2026-02-26#1,1H,08:48,Gio,,,,
2026-02-26#1,1H,11:00,James,,,,
2026-02-26#1,1H,15:28,Bailey,,,,
2026-02-26#1,2H,19:50,Jake,,,,
2026-02-26#1,2H,20:38,Lachlan,Gio,,,
2026-02-26#1,2H,21:10,Lachlan,Gio,,,
2026-02-26#1,2H,21:45,Gio,,,,
2026-02-26#1,2H,22:20,Jake,,,,
2026-02-26#1,2H,28:18,Bailey,,,,
2026-02-26#1,2H,28:40,Alberto,Lachlan,,,
2026-02-26#1,2H,29:48,Jake,Richard,,,
2026-02-26#1,2H,30:30,Xavier,Gio,,,
2026-02-26#1,2H,31:05,Xavier,Gio,,,
2026-02-26#1,2H,31:48,Gio,,,,
2026-02-26#1,2H,33:24,Bailey,,,,
2026-02-26#1,2H,34:08,Gio,Austin,,,
2026-02-26#1,2H,37:50,Gio,,,,
2026-02-26#1,2H,39:07,Lachlan,Xavier,,,
2026-02-26#1,2H,41:28,Richard,,,,
2026-02-26#1,2H,46:05,James,Bailey,,,
2026-02-26#1,2H,47:55,Bailey,Jake,,,
2026-02-26#1,2H,49:18,Gio,Xavier,,,
2026-03-05#1,1H,00:35,Xavier,Richard,,,
2026-03-05#1,1H,02:00,Amin,Bailey,,,
2026-03-05#1,1H,02:40,Jake,,,,
2026-03-05#1,1H,03:25,Xavier,Austin,,,
2026-03-05#1,1H,04:55,Xavier,Austin,,,
2026-03-05#1,1H,06:35,Richard,James,,,
2026-03-05#1,1H,08:35,Lachlan,,,,
2026-03-05#1,1H,10:00,Gio,,,,
2026-03-05#1,1H,11:15,Austin,James,,,
2026-03-05#1,1H,11:35,James,Austin,,,
2026-03-05#1,1H,14:20,James,Gio,,,
2026-03-05#1,1H,15:16,Lachlan,,,,
2026-03-05#1,1H,17:40,Jake,Richard,,,
2026-03-05#1,1H,19:00,Gio,,,,
2026-03-05#1,1H,21:00,Jake,Amin,,,
2026-03-05#1,1H,24:36,Jake,,,,
2026-03-05#1,1H,27:14,Austin,Xavier,,,
2026-03-05#1,2H,29:36,Richard,Austin,,,
2026-03-05#1,2H,30:00,Amin,Bailey,,,
2026-03-05#1,2H,33:18,Gio,Richard,,,
2026-03-05#1,2H,34:30,Gio,,,,
2026-03-05#1,2H,35:20,Alberto,,,,
2026-03-05#1,2H,36:35,Jake,Lachlan,,,
2026-03-05#1,2H,40:38,Gio,,,,
2026-03-05#1,2H,41:12,Richard,Austin,,,
2026-03-05#1,2H,44:00,Jake,Bailey,,,
2026-03-05#1,2H,44:55,Lachlan,Bailey,,,
2026-03-05#1,2H,45:26,Amin,,,,
2026-03-05#1,2H,49:15,Lachlan,Bailey,,,
2026-03-05#1,2H,50:05,Jake,Bailey,,,
2026-03-05#1,2H,51:30,Amin,Lachlan,,,
2026-03-05#1,2H,52:13,Xavier,,,,
2026-03-05#1,2H,53:40,Amin,Bailey,,,
